player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
Rodrigo Sánchez,Real Betis,la_liga,2024,3,117,0,0.1386992428451776,0,0.1289544701576233,2,2,0,0,0,0.1386992428451776,0.107,0.099,0.107
Frank Feller,FC Heidenheim,bundesliga,2024,2,116,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Davide Bartesaghi,AC Milan,serie_a,2024,4,115,0,0.0303207039833068,0,0.1432030163705349,1,2,0,1,0,0.0303207039833068,0.024,0.112,0.024
Malcolm Jeng,Reims,ligue_1,2024,3,114,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Max Aarons,Valencia,la_liga,2024,4,114,0,0.0,0,0.0187398791313171,0,1,2,0,0,0.0,0.0,0.015,0.0
Egor Smelov,Dinamo Moscow,rfpl,2024,2,113,0,0.0434910375624895,0,0.0704113030806183,3,3,0,0,0,0.0434910375624895,0.035,0.056,0.035
David Preu,Union Berlin,bundesliga,2024,5,113,0,0.106883555650711,0,0.0,2,0,1,0,0,0.106883555650711,0.085,0.0,0.085
Semen Stolbov,FC Orenburg,rfpl,2024,2,112,0,0.0,0,0.1620941013097763,0,2,1,0,0,0.0,0.0,0.13,0.0
Manu Bueno,Sevilla,la_liga,2024,9,111,1,0.1197992824018001,0,0.0,4,0,0,0,1,0.1197992824018001,0.097,0.0,0.097
Kyogo Furuhashi,Rennes,ligue_1,2024,6,110,0,0.0372933708131313,0,0.0,1,0,0,0,0,0.0372933708131313,0.031,0.0,0.031
Alessandro Gabrielloni,Como,serie_a,2024,15,109,1,0.2875324171036482,1,0.6300930082798004,5,4,1,0,1,0.2875324171036482,0.237,0.52,0.237
Nacho Vidal,Osasuna,la_liga,2024,5,109,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nicolás Serrano,Athletic Club,la_liga,2024,4,107,0,0.1887172702699899,0,0.0154199851676821,5,1,0,0,0,0.1887172702699899,0.159,0.013,0.159
