team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
Ecuador,Anthony Valencia,Midfielder,22,2,1,Antwerp,0.0,0.0,0.27,1.0,False,0.0,0.18,0.0133,0.1307,0.0959
Colombia,Camilo Vargas,Goalkeeper,37,41,0,Atlas,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.2733,0.0,0.0958
Qatar,Lucas Mendes,Defender,35,25,1,Al-Wakrah,0.0,0.0,0.0735,0.5,True,0.0,0.049,0.1667,0.0765,0.0956
New Zealand,Ben Old,Midfielder,23,23,2,Saint-Étienne,0.0,0.0,0.191,0.6,False,0.0,0.1273,0.1533,0.0886,0.0954
Haiti,Lenny Joseph,Forward,25,2,1,Ferencváros,0.0,0.0,0.3899,0.5,True,0.0,0.2599,0.0133,0.0765,0.0953
South Africa,Aubrey Modiba,Defender,30,44,3,Mamelodi Sundowns,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2933,0.0,0.0953
Qatar,Ahmed Fathy,Midfielder,33,48,0,Al-Arabi,0.0,0.4,0.155,0.0,True,0.0,0.1033,0.32,0.0,0.095
New Zealand,Sarpreet Singh,Midfielder,27,28,3,Wellington Phoenix,0.0,0.0,0.155,0.6,True,0.0,0.1033,0.1867,0.0886,0.0949
Haiti,Yassin Fortuné,Forward,27,4,0,Vizela,0.0,0.0,0.3899,0.4,True,0.0,0.2599,0.0267,0.0634,0.0947
Ecuador,John Yeboah,Forward,25,22,3,Venezia,0.0,3.0,0.19,1.5,False,0.0,0.1267,0.1467,0.1728,0.0946
Bosnia and Herzegovina,Esmir Bajraktarević,Forward,21,16,1,PSV Eindhoven,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.1067,0.0,0.094
Brazil,Endrick,Forward,19,16,3,Lyon,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.1067,0.0,0.094
Qatar,Edmilson Junior,Forward,31,16,0,Al-Duhail,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.1067,0.0,0.094
France,Théo Hernandez,Defender,28,43,2,Al-Hilal,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2867,0.0,0.0934
Iran,Payam Niazmand,Goalkeeper,31,15,0,Persepolis,0.0,0.0,0.002,0.75,True,0.0,0.0013,0.1,0.1055,0.0932
Paraguay,Álex Arce,Forward,30,15,1,Independiente Rivadavia,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.1,0.0,0.093
Jordan,Nizar Al-Rashdan,Midfielder,27,46,4,Qatar SC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.3067,0.0,0.0923
Mexico,Luis Romo,Midfielder,31,63,4,Guadalajara,0.0,0.0,0.04,0.0,False,0.0,0.0267,0.42,0.0,0.092
Curaçao,Roshon van Eijma,Defender,28,27,1,RKC Waalwijk,0.0,0.0,0.0735,0.38,True,0.0,0.049,0.18,0.0607,0.0917
France,Lucas Hernandez,Defender,30,42,0,Paris Saint-Germain,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.28,0.0,0.0914
Saudi Arabia,Abdulelah Al-Amri,Defender,29,42,1,Al-Nassr,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.28,0.0,0.0914
Uzbekistan,Utkir Yusupov,Goalkeeper,35,39,0,Navbahor,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.26,0.0,0.0911
Iraq,Hussein Ali,Defender,24,26,1,Pogoń Szczecin,0.0,0.0,0.0735,0.4,True,0.0,0.049,0.1733,0.0634,0.091
Panama,Tomás Rodríguez,Forward,27,13,4,Saprissa,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0867,0.0,0.091
South Africa,Iqraam Rayners,Forward,30,13,4,Mamelodi Sundowns,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0867,0.0,0.091
Tunisia,Hannibal Mejbri,Midfielder,23,45,1,Burnley,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.3,0.0,0.091
Bosnia and Herzegovina,Samed Baždar,Forward,22,13,1,Jagiellonia Białystok,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0867,0.0,0.091
Uzbekistan,Azizbek Amonov,Forward,28,12,2,Dinamo Samarqand,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.08,0.0,0.09
