team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
Iraq,Kevin Yakob,Midfielder,25,8,0,AGF,0.0,0.0,0.155,0.6,True,0.0,0.1033,0.0533,0.0886,0.0682
Scotland,Liam Kelly,Goalkeeper,30,3,0,Rangers,0.0,0.0,0.002,0.8,True,0.0,0.0013,0.02,0.1108,0.0681
Turkey,Deniz Gül,Forward,21,7,2,Porto,0.0,0.0,0.305,0.0,False,0.0,0.2033,0.0467,0.0,0.068
Panama,Carlos Harvey,Defender,26,28,3,Minnesota United FC,0.0,0.0,0.118,0.0,False,0.0,0.0787,0.1867,0.0,0.0678
Ghana,Lawrence Ati-Zigi,Goalkeeper,29,29,0,St. Gallen,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1933,0.0,0.0678
Uruguay,Ronald Araújo,Defender,27,27,1,Barcelona,0.0,0.0,0.136,0.0,False,0.0,0.0907,0.18,0.0,0.0676
Egypt,Karim Hafez,Defender,30,8,0,Pyramids,0.0,0.0,0.0735,0.6,True,0.0,0.049,0.0533,0.0886,0.0676
Cape Verde,Dailon Livramento,Forward,25,21,7,Casa Pia,0.0,0.0,0.233,0.0,False,0.0,0.1553,0.14,0.0,0.0676
Cape Verde,Diney,Defender,31,30,2,Al Bataeh,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2,0.0,0.0673
Uzbekistan,Sherzod Nasrullaev,Defender,27,30,2,Nasaf,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2,0.0,0.0673
Croatia,Josip Stanišić,Defender,26,30,0,Bayern Munich,0.0,1.7,0.0735,0.0,True,0.0,0.049,0.2,0.0,0.0673
South Korea,Paik Seung-ho,Midfielder,29,27,3,Birmingham City,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.18,0.0,0.067
Senegal,El Hadji Malick Diouf,Defender,21,19,1,West Ham United,0.0,0.0,0.0735,0.25,True,0.0,0.049,0.1267,0.0421,0.0664
Algeria,Mohamed Amine Tougai,Defender,26,29,2,Espérance de Tunis,0.0,0.0,0.0735,0.01,True,0.0,0.049,0.1933,0.0019,0.0663
Australia,Cammy Devlin,Midfielder,28,5,0,Heart of Midlothian,0.0,0.0,0.075,1.2,False,0.0,0.05,0.0333,0.1487,0.0663
Iraq,Youssef Amyn,Midfielder,22,26,2,AEK Larnaca,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1733,0.0,0.0656
New Zealand,Alex Rufer,Midfielder,29,26,0,Wellington Phoenix,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1733,0.0,0.0656
Haiti,Carl Sainté,Midfielder,23,26,0,El Paso Locomotive FC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1733,0.0,0.0656
DR Congo,Lionel Mpasi,Goalkeeper,31,28,0,Le Havre,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1867,0.0,0.0655
Uzbekistan,Umar Eshmurodov,Defender,33,29,0,Nasaf,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1933,0.0,0.0653
Ecuador,Kendry Páez,Midfielder,19,25,2,River Plate,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1667,0.0,0.0643
Mexico,Érik Lira,Midfielder,26,25,0,Cruz Azul,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1667,0.0,0.0643
Tunisia,Omar Rekik,Defender,24,6,0,Maribor,0.0,0.0,0.0735,0.6,True,0.0,0.049,0.04,0.0886,0.0636
DR Congo,Matthieu Epolo,Goalkeeper,21,1,0,Standard Liège,0.0,0.0,0.002,0.8,True,0.0,0.0013,0.0067,0.1108,0.0634
Uzbekistan,Akmal Mozgovoy,Midfielder,27,24,1,Pakhtakor,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.16,0.0,0.063
Australia,Ajdin Hrustic,Forward,29,37,4,Heracles Almelo,0.0,0.7,0.04,0.6,False,0.0,0.0267,0.2467,0.0886,0.0627
Canada,Mathieu Choinière,Midfielder,27,23,0,Los Angeles FC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1533,0.0,0.0616
Iraq,Zaid Tahseen,Defender,25,27,1,Pakhtakor,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.18,0.0,0.0614
Iraq,Frans Putros,Defender,32,27,0,Persib,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.18,0.0,0.0614
Ivory Coast,Mohamed Koné,Goalkeeper,24,0,0,Charleroi,0.0,0.0,0.002,0.8,True,0.0,0.0013,0.0,0.1108,0.0611
Austria,Alexander Schlager,Goalkeeper,30,26,0,Red Bull Salzburg,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1733,0.0,0.0608
Bosnia and Herzegovina,Amar Dedić,Defender,23,28,1,Benfica,0.0,0.0,0.047,0.0,False,0.0,0.0313,0.1867,0.0,0.0607
Belgium,Joaquin Seys,Defender,21,5,0,Club Brugge,0.0,0.0,0.061,0.6,False,0.0,0.0407,0.0333,0.0886,0.0604
South Korea,Kim Jin-gyu,Midfielder,29,22,3,Jeonbuk Hyundai Motors,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1467,0.0,0.0603
Egypt,Mohanad Lasheen,Midfielder,30,22,0,Pyramids,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1467,0.0,0.0603
Japan,Keisuke Gotō,Forward,21,4,0,Sint-Truiden,0.0,0.0,0.281,0.0,False,0.0,0.1873,0.0267,0.0,0.0602
Australia,Paul Izzo,Goalkeeper,31,4,0,Randers,0.0,0.0,0.002,0.6,True,0.0,0.0013,0.0267,0.0886,0.0582
Canada,Luc de Fougerolles,Defender,20,13,0,Dender,0.0,0.0,0.0735,0.3,True,0.0,0.049,0.0867,0.0495,0.0581
Croatia,Luka Sučić,Midfielder,23,20,1,Real Sociedad,0.0,3.0,0.155,0.0,True,0.0,0.1033,0.1333,0.0,0.0577
Bosnia and Herzegovina,Armin Gigović,Midfielder,24,20,1,Young Boys,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1333,0.0,0.0577
Bosnia and Herzegovina,Dženis Burnić,Midfielder,28,20,0,Karlsruher SC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1333,0.0,0.0577
Ghana,Kwasi Sibo,Midfielder,27,8,0,Oviedo,0.0,0.0,0.155,0.3,True,0.0,0.1033,0.0533,0.0495,0.0565
Cape Verde,Kevin Pina,Midfielder,29,31,3,Krasnodar,0.0,0.0,0.075,0.0,False,0.0,0.05,0.2067,0.0,0.0563
Paraguay,Damián Bobadilla,Midfielder,24,19,1,São Paulo,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1267,0.0,0.0563
Uzbekistan,Azizjon Ganiev,Midfielder,28,19,0,Al Bataeh,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1267,0.0,0.0563
Uruguay,Joaquín Piquerez,Midfielder,27,19,0,Palmeiras,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1267,0.0,0.0563
New Zealand,Max Crocombe,Goalkeeper,32,24,0,Millwall,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.16,0.0,0.0561
United States,Alex Freeman,Defender,21,17,2,Villarreal,0.0,0.0,0.22,0.0,False,0.0,0.1467,0.1133,0.0,0.056
Japan,Hiroki Itō,Defender,27,24,1,Bayern Munich,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.16,0.0,0.0554
Uruguay,Sebastián Cáceres,Defender,26,24,0,América,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.16,0.0,0.0554
Saudi Arabia,Nawaf Boushal,Defender,26,24,0,Al-Nassr,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.16,0.0,0.0554
Croatia,Martin Baturina,Midfielder,23,18,1,Como,0.0,1.0,0.155,0.0,True,0.0,0.1033,0.12,0.0,0.055
South Korea,Lee Dong-gyeong,Midfielder,28,18,4,Ulsan HD,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.12,0.0,0.055
Jordan,Amer Jamous,Midfielder,23,18,1,Al-Zawraa,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.12,0.0,0.055
Tunisia,Sebastian Tounekti,Midfielder,23,12,1,Celtic,0.0,0.0,0.12,0.3,False,0.0,0.08,0.08,0.0495,0.0548
New Zealand,Callan Elliot,Defender,26,11,0,Auckland FC,0.0,0.0,0.0735,0.3,True,0.0,0.049,0.0733,0.0495,0.0541
Czech Republic,Lukáš Červ,Midfielder,25,17,2,Viktoria Plzeň,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1133,0.0,0.0536
Bosnia and Herzegovina,Ivan Bašić,Midfielder,24,17,0,Astana,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1133,0.0,0.0536
Czech Republic,Jaroslav Zelený,Defender,33,23,0,Sparta Prague,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1533,0.0,0.0533
Panama,Jiovany Ramos,Defender,29,23,2,Puerto Cabello,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1533,0.0,0.0533
Saudi Arabia,Nawaf Al-Aqidi,Goalkeeper,26,22,0,Al-Nassr,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1467,0.0,0.0515
Netherlands,Robin Roefs,Goalkeeper,23,1,0,Sunderland,0.0,0.0,0.002,0.6,True,0.0,0.0013,0.0067,0.0886,0.0512
Uruguay,Agustín Canobbio,Midfielder,27,15,1,Fluminense,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1,0.0,0.051
Egypt,Mahmoud Saber,Midfielder,24,15,1,ZED,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1,0.0,0.051
Paraguay,Maurício,Midfielder,24,3,0,Palmeiras,0.0,0.0,0.155,0.3,True,0.0,0.1033,0.02,0.0495,0.0498
South Africa,Thalente Mbatha,Midfielder,26,14,3,Orlando Pirates,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0933,0.0,0.0496
Saudi Arabia,Ali Majrashi,Defender,26,21,0,Al-Ahli,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.14,0.0,0.0494
Haiti,Martin Expérience,Defender,27,21,0,Nancy,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.14,0.0,0.0494
Saudi Arabia,Ali Lajami,Defender,30,21,1,Al-Hilal,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.14,0.0,0.0494
Iraq,Fahad Talib,Goalkeeper,31,21,0,Al-Talaba,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.14,0.0,0.0491
United States,Sebastian Berhalter,Midfielder,25,13,1,Vancouver Whitecaps FC,0.0,0.0,0.157,0.0,False,0.0,0.1047,0.0867,0.0,0.0488
Uzbekistan,Abdulla Abdullaev,Defender,28,17,0,Dibba,0.0,0.0,0.0735,0.08,True,0.0,0.049,0.1133,0.0145,0.0486
South Korea,Bae Jun-ho,Midfielder,22,13,2,Stoke City,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0867,0.0,0.0483
Japan,Kaishū Sano,Midfielder,25,13,0,Mainz 05,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0867,0.0,0.0483
Bosnia and Herzegovina,Amar Memić,Midfielder,25,13,1,Viktoria Plzeň,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0867,0.0,0.0483
Qatar,Ahmed Al-Ganehi,Midfielder,25,13,1,Al-Gharafa,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0867,0.0,0.0483
Australia,Tete Yengi,Forward,25,1,1,Machida Zelvia,0.0,0.0,0.171,0.4,False,0.0,0.114,0.0067,0.0634,0.0479
South Africa,Sphephelo Sithole,Midfielder,27,27,1,Tondela,0.0,0.0,0.058,0.0,False,0.0,0.0387,0.18,0.0,0.0476
Norway,Fredrik André Bjørkan,Defender,27,20,1,Bodø/Glimt,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
United States,Maximilian Arfsten,Defender,25,20,1,Columbus Crew,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
Iraq,Ahmed Yahya,Defender,30,20,0,Al-Shorta,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
Jordan,Saed Al-Rosan,Defender,29,20,2,Al-Hussein,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
Saudi Arabia,Hassan Kadesh,Defender,33,20,2,Al-Ittihad,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
New Zealand,Francis de Vries,Defender,31,20,1,Auckland FC,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1333,0.0,0.0473
Saudi Arabia,Ziyad Al-Johani,Midfielder,24,12,0,Al-Ahli,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.08,0.0,0.047
Ivory Coast,Ange-Yoan Bonny,Forward,22,1,0,Inter Milan,0.0,0.0,0.23,0.0,False,0.0,0.1533,0.0067,0.0,0.047
Jordan,Mohammad Al-Dawoud,Midfielder,34,12,1,Al-Wehdat,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.08,0.0,0.047
Egypt,Nabil Emad,Midfielder,30,12,0,Al-Najma,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.08,0.0,0.047
Czech Republic,Matěj Kovář,Goalkeeper,26,20,0,PSV Eindhoven,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1333,0.0,0.0468
Canada,Dayne St. Clair,Goalkeeper,29,20,0,Inter Miami CF,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1333,0.0,0.0468
Ghana,Caleb Yirenkyi,Midfielder,20,11,1,Nordsjælland,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0733,0.0,0.0457
Bosnia and Herzegovina,Ivan Šunjić,Midfielder,29,11,0,Pafos,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0733,0.0,0.0457
Germany,Aleksandar Pavlović,Midfielder,22,11,1,Bayern Munich,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0733,0.0,0.0457
Croatia,Marin Pongračić,Defender,28,19,0,Fiorentina,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1267,0.0,0.0454
New Zealand,Finn Surman,Defender,22,19,2,Portland Timbers,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1267,0.0,0.0454
Canada,Niko Sigur,Defender,22,19,2,Hajduk Split,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1267,0.0,0.0454
South Africa,Nkosinathi Sibisi,Defender,30,19,0,Orlando Pirates,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1267,0.0,0.0454
Haiti,Alexandre Pierre,Goalkeeper,25,15,0,Sochaux,0.0,0.0,0.002,0.1,True,0.0,0.0013,0.1,0.018,0.045
Ecuador,Jordy Alcívar,Midfielder,26,10,1,Independiente del Valle,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0667,0.0,0.0443
Cape Verde,Yannick Semedo,Midfielder,30,10,1,Farense,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0667,0.0,0.0443
Morocco,Youssef Belammari,Defender,27,18,0,Al Ahly,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.12,0.0,0.0434
Iran,Saleh Hardani,Defender,27,18,1,Esteghlal,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.12,0.0,0.0434
Canada,Nathan Saliba,Midfielder,22,15,2,Anderlecht,0.0,0.0,0.117,0.0,False,0.0,0.078,0.1,0.0,0.0434
Panama,Jorge Gutiérrez,Defender,27,18,0,Deportivo La Guaira,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.12,0.0,0.0434
South Korea,Yang Hyun-jun,Midfielder,24,9,0,Celtic,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.06,0.0,0.043
South Korea,Eom Ji-sung,Midfielder,24,9,2,Swansea City,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.06,0.0,0.043
Tunisia,Hadj Mahmoud,Midfielder,26,9,0,Lugano,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.06,0.0,0.043
Colombia,Juan Portilla,Midfielder,27,9,0,Athletico Paranaense,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.06,0.0,0.043
Brazil,Gabriel Magalhães,Defender,28,17,1,Arsenal,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Qatar,Sultan Al-Brake,Defender,30,17,0,Al-Duhail,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Canada,Joel Waterman,Defender,30,17,0,Chicago Fire FC,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Bosnia and Herzegovina,Nikola Katić,Defender,29,17,2,Schalke 04,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Iran,Ali Nemati,Defender,30,17,0,Foolad,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Jordan,Mo Abualnadi,Defender,25,17,0,Selangor,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Jordan,Husam Abu Dahab,Defender,26,17,0,Al-Faisaly,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Croatia,Kristijan Jakić,Defender,29,17,2,FC Augsburg,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Czech Republic,David Douděra,Defender,28,17,2,Slavia Prague,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1133,0.0,0.0413
Croatia,Toni Fruk,Midfielder,25,7,1,Rijeka,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0467,0.0,0.0403
Paraguay,Braian Ojeda,Midfielder,25,17,0,Orlando City SC,0.0,0.0,0.085,0.0,False,0.0,0.0567,0.1133,0.0,0.0397
Iraq,Mustafa Saadoon,Defender,25,16,0,Al-Shorta,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1067,0.0,0.0394
Haiti,Duke Lacroix,Defender,32,16,3,Colorado Springs Switchbacks FC,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1067,0.0,0.0394
Egypt,Yasser Ibrahim,Defender,33,16,1,Al Ahly,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1067,0.0,0.0394
Iraq,Zaid Ismail,Midfielder,24,6,0,Al-Talaba,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.04,0.0,0.039
Australia,Paul Okon-Engstler,Midfielder,21,6,0,Sydney FC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.04,0.0,0.039
Algeria,Yacine Titraoui,Midfielder,22,5,0,Charleroi,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0333,0.0,0.0377
Morocco,Gessime Yassine,Midfielder,20,5,0,Strasbourg,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0333,0.0,0.0377
South Korea,Lee Tae-seok,Defender,23,15,1,Austria Wien,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.1,0.0,0.0374
New Zealand,Michael Woud,Goalkeeper,27,6,0,Auckland FC,0.0,0.0,0.002,0.25,True,0.0,0.0013,0.04,0.0421,0.0373
Ecuador,Pedro Vite,Midfielder,24,16,1,UNAM,0.0,0.0,0.078,0.0,False,0.0,0.052,0.1067,0.0,0.0369
Spain,Álex Grimaldo,Defender,30,13,0,Bayer Leverkusen,0.0,0.0,0.106,0.0,False,0.0,0.0707,0.0867,0.0,0.0366
South Africa,Jayden Adams,Midfielder,25,4,0,Mamelodi Sundowns,0.0,1.0,0.155,0.0,True,0.0,0.1033,0.0267,0.0,0.0363
Tunisia,Khalil Ayari,Midfielder,21,4,0,Paris Saint-Germain,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0267,0.0,0.0363
Iran,Amirmohammad Razzaghinia,Midfielder,20,4,0,Esteghlal,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0267,0.0,0.0363
New Zealand,Lachlan Bayliss,Midfielder,23,4,0,Newcastle Jets,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0267,0.0,0.0363
Australia,Jason Geria,Defender,33,14,0,Albirex Niigata,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
Iran,Aria Yousefi,Defender,24,14,1,Sepahan,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
Japan,Ayumu Seko,Defender,26,14,0,Le Havre,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
Czech Republic,Robin Hranáč,Defender,26,14,1,TSG Hoffenheim,0.0,2.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
South Korea,Park Jin-seob,Defender,30,14,1,Zhejiang,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
Norway,Torbjørn Heggem,Defender,27,14,0,Bologna,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0933,0.0,0.0353
United States,Matt Freese,Goalkeeper,27,15,0,New York City FC,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1,0.0,0.0351
Iraq,Ahmed Basil,Goalkeeper,29,15,0,Al-Shorta,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.1,0.0,0.0351
Brazil,Danilo Santos,Midfielder,25,3,2,Botafogo,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.02,0.0,0.035
South Korea,Lee Gi-hyuk,Midfielder,25,3,0,Gangwon FC,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.02,0.0,0.035
Tunisia,Mohamed Amine Ben Hamida,Defender,30,13,0,Espérance de Tunis,0.0,0.0,0.0735,0.01,True,0.0,0.049,0.0867,0.0019,0.0343
Paraguay,Gustavo Caballero,Midfielder,24,2,1,Portsmouth,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Scotland,Tyler Fletcher,Midfielder,19,2,0,Manchester United,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Czech Republic,Alexandr Sojka,Midfielder,23,2,0,Viktoria Plzeň,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Bosnia and Herzegovina,Ermin Mahmić,Midfielder,21,2,0,Slovan Liberec,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Saudi Arabia,Alaa Al-Hejji,Midfielder,30,2,0,Neom,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Haiti,Dominique Simon,Midfielder,25,2,0,Tatran Prešov,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0133,0.0,0.0336
Egypt,Hossam Abdelmaguid,Defender,25,13,0,Zamalek,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0867,0.0,0.0334
Paraguay,Gustavo Velázquez,Defender,35,13,1,Cerro Porteño,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0867,0.0,0.0334
Iraq,Akam Hashim,Defender,27,13,1,Al-Zawraa,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0867,0.0,0.0334
Mexico,Raúl Rangel,Goalkeeper,26,14,0,Guadalajara,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0933,0.0,0.0328
Czech Republic,Jindřich Staněk,Goalkeeper,30,14,0,Slavia Prague,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0933,0.0,0.0328
Saudi Arabia,Mohammed Abu Al-Shamat,Defender,23,6,0,Al-Qadsiah,0.0,0.0,0.0735,0.15,True,0.0,0.049,0.04,0.0264,0.0325
Czech Republic,Hugo Sochůrek,Midfielder,18,1,0,Sparta Prague,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Uzbekistan,Sherzod Esanov,Midfielder,23,1,0,Bukhara,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Germany,Assan Ouédraogo,Midfielder,20,1,1,RB Leipzig,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Egypt,Mostafa Ziko,Midfielder,29,1,1,Pyramids,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Haiti,Woodensky Pierre,Midfielder,21,1,0,Violette,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Senegal,Bara Sapoko Ndiaye,Midfielder,18,1,0,Bayern Munich,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.0067,0.0,0.0323
Mexico,Obed Vargas,Midfielder,20,6,0,Atlético Madrid,0.0,0.0,0.119,0.0,False,0.0,0.0793,0.04,0.0,0.0318
Cape Verde,Sidny Lopes Cabral,Defender,23,9,3,Benfica,0.0,0.0,0.136,0.0,False,0.0,0.0907,0.06,0.0,0.0316
Ivory Coast,Christopher Opéri,Defender,29,12,0,İstanbul Başakşehir,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.08,0.0,0.0314
Saudi Arabia,Moteb Al-Harbi,Defender,26,12,0,Al-Hilal,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.08,0.0,0.0314
Bosnia and Herzegovina,Nihad Mujakić,Defender,28,12,1,Gaziantep,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.08,0.0,0.0314
Iraq,Ahmed Qasem,Forward,22,2,0,Nashville SC,0.0,0.0,0.147,0.0,False,0.0,0.098,0.0133,0.0,0.0314
Mexico,Mateo Chávez,Defender,22,10,0,AZ,0.0,0.0,0.109,0.0,False,0.0,0.0727,0.0667,0.0,0.0309
Iran,Hossein Hosseini,Goalkeeper,33,13,0,Sepahan,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0867,0.0,0.0305
Ghana,Joseph Anang,Goalkeeper,26,1,0,St Patrick's Athletic,0.0,0.0,0.002,0.3,True,0.0,0.0013,0.0067,0.0495,0.0297
Ivory Coast,Christ Inao Oulaï,Midfielder,20,9,0,Trabzonspor,0.0,0.0,0.087,0.0,False,0.0,0.058,0.06,0.0,0.0294
Australia,Alessandro Circati,Defender,22,13,1,Parma,0.0,0.0,0.03,0.0,False,0.0,0.02,0.0867,0.0,0.029
Sweden,Viktor Johansson,Goalkeeper,27,12,0,Stoke City,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.08,0.0,0.0281
South Africa,Mbekezeli Mbokazi,Defender,20,10,1,Chicago Fire FC,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0667,0.0,0.0274
Algeria,Zineddine Belaïd,Defender,27,10,1,JS Kabylie,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0667,0.0,0.0274
Switzerland,Miro Muheim,Defender,28,10,0,Hamburger SV,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0667,0.0,0.0274
Ghana,Jonas Adjetey,Defender,22,10,0,VfL Wolfsburg,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0667,0.0,0.0274
Jordan,Salim Obaid,Defender,34,10,0,Al-Hussein,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.0667,0.0,0.0274
Curaçao,Trevor Doornbusch,Goalkeeper,26,7,0,VVV-Venlo,0.0,0.0,0.002,0.1,True,0.0,0.0013,0.0467,0.018,0.0264
Colombia,Álvaro Montero,Goalkeeper,31,11,0,Vélez Sarsfield,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0733,0.0,0.0258
Ghana,Benjamin Asare,Goalkeeper,33,11,0,Hearts of Oak,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0733,0.0,0.0258
Jordan,Abdallah Al-Fakhouri,Goalkeeper,26,11,0,Al-Wehdat,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.0733,0.0,0.0258
